t_ms,true_x,true_y,yaw_deg,map_x,map_y,fused_x,fused_y,enc_x,enc_y,enc_w,imu_ok,seg,auto_state,route_complete,front_cm,left_cm,out_vx,out_vy,map_lim,front_lim,left_lim,clearance,odom_err
11710,2.7310,1.7665,0.00,2.5893,2.7035,2.2122,2.3916,2.2088,2.3881,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.9477
11720,2.7310,1.7665,0.00,2.5894,2.7036,2.2123,2.3917,2.2088,2.3881,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.9477
11730,2.7310,1.7665,0.00,2.5894,2.7037,2.2123,2.3917,2.2088,2.3881,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.9478
11740,2.7310,1.7665,0.00,2.5895,2.7038,2.2123,2.3917,2.2088,2.3881,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.9479
11750,2.7310,1.7665,0.00,2.5895,2.7038,2.2123,2.3918,2.2088,2.3881,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.9479
11760,2.7310,1.7665,0.00,2.5896,2.7039,2.2124,2.3918,2.2088,2.3881,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.9480
11770,2.7310,1.7665,0.00,2.5897,2.7040,2.2124,2.3919,2.2088,2.3881,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.9481
11780,2.7310,1.7665,0.00,2.5897,2.7041,2.2124,2.3919,2.2088,2.3881,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.9482
11790,2.7310,1.7665,0.00,2.5898,2.7042,2.2125,2.3919,2.2088,2.3881,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.9482
11800,2.7310,1.7665,0.00,2.5898,2.7042,2.2125,2.3920,2.2088,2.3881,0.500,1,3,5,0,0,0,-150,0,0,0,0,0.000,0.9483
11810,2.7309,1.7665,0.00,2.5899,2.7043,2.2125,2.3920,2.2087,2.3881,0.500,1,3,5,0,0,0,-150,0,0,0,0,0.000,0.9484
11820,2.7306,1.7665,0.00,2.5898,2.7044,2.2123,2.3921,2.2084,2.3881,0.500,1,3,5,0,0,0,-150,0,0,0,0,0.000,0.9484
